REGION,FUEL,YEAR,VALUE
REGION1,HUNG,2046,242,116380483155
REGION1,HUNG,2047,241,641475773307
REGION1,HUNG,2048,241,166571063459
REGION1,HUNG,2049,240,691666353611
REGION1,HUNG,2050,240,216761643763
REGION1,HUNG,2051,240,216761643763
REGION1,HUNG,2052,240,216761643763
REGION1,HUNG,2053,240,216761643763
REGION1,HUNG,2054,240,216761643763
REGION1,HUNG,2055,240,216761643763
REGION1,HUNG,2056,240,216761643763
REGION1,HUNG,2057,240,216761643763
REGION1,HUNG,2058,240,216761643763
REGION1,HUNG,2059,240,216761643763
REGION1,HUNG,2060,240,216761643763
REGION1,IENG,2015,69,2703908251251
REGION1,IENG,2016,69,486828794046
REGION1,IENG,2017,69,7032667629669
REGION1,IENG,2018,69,9197047318878
REGION1,IENG,2019,70,1361427008087
REGION1,IENG,2020,70,3525806697295
REGION1,IENG,2021,66,7847330638114
REGION1,IENG,2022,63,2168854578932
REGION1,IENG,2023,59,6490378519751
REGION1,IENG,2024,56,081190246057
REGION1,IENG,2025,52,5133426401388
REGION1,IENG,2026,52,1194195220008
REGION1,IENG,2027,51,7254964038627
REGION1,IENG,2028,51,3315732857246
REGION1,IENG,2029,50,9376501675865
REGION1,IENG,2030,50,5437270494484
REGION1,IENG,2031,49,793624677989
REGION1,IENG,2032,49,0435223065296
REGION1,IENG,2033,48,2934199350702
REGION1,IENG,2034,47,5433175636108
REGION1,IENG,2035,46,7932151921515
REGION1,IENG,2036,45,5760518190358
REGION1,IENG,2037,44,35888844592
REGION1,IENG,2038,43,1417250728042
REGION1,IENG,2039,41,9245616996885
REGION1,IENG,2040,40,7073983265728
REGION1,IENG,2041,41,32614901521
REGION1,IENG,2042,41,9448997038472
REGION1,IENG,2043,42,5636503924844
REGION1,IENG,2044,43,1824010811216
REGION1,IENG,2045,43,8011517697588
REGION1,IENG,2046,44,2269274386875
REGION1,IENG,2047,44,6527031076162
REGION1,IENG,2048,45,078478776545
REGION1,IENG,2049,45,5042544454737
REGION1,IENG,2050,45,9300301144024
